intensity/q,density/k,velocity/u
6.089675094,0.5,12.17935019
6.089675094,0.5,12.17935019
10.82098107,0.88,12.2965694
9.069696792,1,9.069696792
7.566404562,1,7.566404562
11.36913179,0.72,15.79046083
10.96507334,0.5,21.93014668
1.43047845,0.5,2.8609569
4.346163828,0.5,8.692327656
3.129020586,0.325,9.627755649
0.824367222,0.08,10.30459028
6.090636438,0.575,10.5924112
11.88414164,1,11.88414164
11.88414162,1,11.88414162
11.88414164,1,11.88414164
12.05160894,1,12.05160894
12.08488491,1,12.08488491
5.296077594,0.51,10.38446587
3.756030696,0.405,9.274149867
4.65608763,0.5,9.31217526
4.656087648,0.5,9.312175296
4.64109291,0.5,9.28218582
4.6322865,0.5,9.264573
4.6322865,0.5,9.264573
5.060825496,0.5,10.12165099
3.96530262,0.35,11.32943606
3.919590486,0.1,39.19590486
2.008330452,0.5,4.016660904
0.62478225,0.5,1.2495645
6.980933574,0.5,13.96186715
8.018076636,0.5,16.03615327
8.018076636,0.5,16.03615327
7.679774466,0.48,15.99953014
4.248641808,0.355,11.96800509
5.964411492,0.5,11.92882298
6.049889514,0.5,12.09977903
6.066171036,0.5,12.13234207
9.040649796,0.625,14.46503967
14.11661653,0.95,14.85959635
7.58321667,0.5,15.16643334
7.583216688,0.5,15.16643338
7.583216688,0.5,15.16643338
3.763969776,0.25,15.0558791
6.225651486,0.435,14.3118425
7.134862122,0.5,14.26972424
6.752766798,0.5,13.5055336
6.129348048,0.5,12.2586961
11.3243582,1,11.3243582
10.52648701,1.08,9.746747233
9.706459446,1,9.706459446
9.706459446,1,9.706459446
11.03385076,1.03,10.71247647
13.62148011,1,13.62148011
13.62148011,1,13.62148011
13.62148011,1,13.62148011
13.12624618,0.885,14.83191659
7.058090754,0.5,14.11618151
2.976051942,0.5,5.952103884
10.17762334,0.5,20.35524668
7.303194972,0.5,14.60638994
3.245145768,0.5,6.490291536
3.322600884,0.165,20.13697505
3.788745264,0.275,13.77725551
6.862982112,0.5,13.72596422
20.18664887,0.745,27.09617299
0.848498472,0.5,1.696996944
7.339462794,0.985,7.451231263
10.17557591,0.795,12.79946656
8.053465968,0.525,15.33993518
15.96341493,1,15.96341493
12.74244088,0.9,14.15826764
6.79503294,0.5,13.59006588
6.79503294,0.5,13.59006588
6.73685865,0.5,13.4737173
1.711840266,0.125,13.69472213
3.160673874,0.215,14.70080872
7.468977852,0.505,14.79005515
16.19384081,1,16.19384081
16.17147817,1,16.17147817
16.17147814,1,16.17147814
8.628306318,0.96,8.987819081
4.894005096,0.5,9.788010192
7.17077484,0.5,14.34154968
1.92847509,0.135,14.28500067
1.190758806,0.08,14.88448508
7.404568614,0.5,14.80913723
7.363192428,0.5,14.72638486
7.363192428,0.5,14.72638486
7.363192446,0.5,14.72638489
5.315095278,0.36,14.76415355
8.568041598,0.425,20.16009788
15.29121985,0.785,19.47926096
18.76130743,1,18.76130743
14.07438691,0.78,18.04408578
8.055014454,0.5,16.11002891
6.553991124,0.5,13.10798225
